Date,Open,High,Low,Close,AdjClose,Volume
2014-03-01,20.059999,20.070000,20.010000,20.055000,20.055000,30974
2014-04-01,20.100000,21.010000,20.100000,20.235001,20.235001,28175
2014-05-01,20.250000,20.340000,20.170000,20.320000,20.320000,36860
2014-06-01,20.315001,20.440001,20.280001,20.325001,20.325001,17483
2014-07-01,20.469999,20.750000,20.290001,20.629999,20.629999,14517
2014-08-01,20.650000,20.650000,20.459999,20.594999,20.594999,19894
2014-09-01,20.690001,20.900000,20.650000,20.684999,20.684999,404105
2014-10-01,20.690001,20.879999,20.680000,20.865000,20.865000,34151
2014-11-01,20.870001,20.920000,20.780001,20.879999,20.879999,56533
2014-12-01,20.950001,21.400000,20.840000,21.270000,21.270000,43579
2015-01-01,21.309999,21.320000,21.004999,21.170000,21.170000,56565
2015-02-01,21.150000,21.330000,21.059999,21.270000,21.270000,160054
2015-03-01,21.370001,21.500000,21.049999,21.049999,21.049999,90289
2015-04-01,21.000000,21.040001,20.790001,21.000000,21.000000,30155
2015-05-01,21.010000,21.080000,20.629999,20.690001,20.690001,44317
2015-06-01,20.670000,21.160000,20.670000,20.930000,20.930000,76903
2015-07-01,20.889999,21.160000,20.799999,20.955000,20.955000,15536
2015-08-01,20.900000,21.200001,20.889999,21.035000,21.035000,199466
2015-09-01,21.070000,21.445000,21.040001,21.090000,21.090000,52837
2015-10-01,21.340000,21.340000,20.950001,21.120001,21.120001,169378
2015-11-01,21.110001,21.395000,20.980000,20.985001,20.985001,29731
2015-12-01,21.049999,21.340000,21.040001,21.320000,21.320000,66406
2016-01-01,21.330000,21.700001,21.070000,21.520000,21.520000,159051
2016-02-29,21.430000,21.660000,21.379999,21.629999,21.629999,94098
2016-03-01,21.639999,21.905001,21.559999,21.620001,21.620001,101280
2016-04-01,21.680000,21.834999,21.620001,21.695000,21.695000,184877
2016-05-01,21.730000,22.230000,21.500000,22.090000,22.090000,113021
2016-06-01,22.260000,22.370001,21.985001,22.190001,22.190001,242665
2016-07-01,22.230000,22.320000,22.000000,22.155001,22.155001,168757
2016-08-01,22.065001,22.219999,21.805000,22.110001,22.110001,124677
2016-09-01,22.165001,22.165001,21.809999,21.855000,21.855000,186468
2016-10-01,21.865000,21.950001,21.299999,21.480000,21.480000,210696
2016-11-01,21.410000,21.545000,21.295000,21.510000,21.510000,123897
2016-12-01,21.559999,21.594999,21.270000,21.365000,21.365000,184484
2017-01-01,21.370001,21.719999,21.219999,21.540001,21.540001,133551
2017-02-01,21.500000,22.000000,21.254999,21.480000,21.480000,146537
2017-03-01,21.450001,21.750000,21.450001,21.600000,21.600000,292204
2017-04-01,21.549999,21.740000,21.400000,21.695000,21.695000,40912
2017-05-01,21.709999,21.809999,21.600000,21.605000,21.605000,155882
2017-06-01,21.450001,21.709999,21.450001,21.625000,21.625000,180398
2017-07-01,21.645000,22.000000,21.600000,21.740000,21.740000,36429
2017-08-01,21.795000,21.850000,21.559999,21.625000,21.625000,55270
2017-09-01,21.590000,21.889999,21.520000,21.645000,21.645000,142147
2017-10-01,21.655001,21.790001,21.570000,21.635000,21.635000,185094
2017-11-01,21.605000,21.809999,21.580000,21.625000,21.625000,61330
